venue,bottle,type,current_price,recommended_price,delta_pct,delta_abs,market_price_estimate,vpi,reason,min_price,max_price
NYX Rooftop Lounge,Kettle One,Vodka,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Belvedere,Vodka,325,300,-7.7,-25,325.0,0.938,Minor decrease to align with market positioning,276.25,373.75
NYX Rooftop Lounge,Grey Goose,Vodka,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Tito's,Vodka,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Casamigos Blanco,Tequila,425,400,-5.9,-25,425.0,0.938,Minor decrease to align with market positioning,361.25,488.75
NYX Rooftop Lounge,Casamigos Reposado,Tequila,450,425,-5.6,-25,450.0,0.938,Minor decrease to align with market positioning,382.5,517.5
NYX Rooftop Lounge,Casamigos Añejo,Tequila,500,475,-5.0,-25,500.0,0.938,Minor decrease to align with market positioning,425.0,575.0
NYX Rooftop Lounge,Don Julio Reposado,Tequila,475,425,-10.5,-50,450.0,0.938,Minor decrease to align with market positioning,403.75,546.25
NYX Rooftop Lounge,Don Julio Blanco,Tequila,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Clase Azul Reposado,Tequila,900,850,-5.6,-50,900.0,0.938,Minor decrease to align with market positioning,765.0,1035.0
NYX Rooftop Lounge,Don Julio 1942,Tequila,850,850,0.0,0,900.0,0.938,Price is optimal. Current price aligns well with market (Tequila median: $900) and venue positioning (VPI: 0.94).,722.5,977.5
NYX Rooftop Lounge,Don Julio 1942 Magnum,Tequila,1800,1825,1.4,25,1950.0,0.938,Minor increase to align with market positioning,1530.0,2070.0
NYX Rooftop Lounge,Komos Repo Rosa,Tequila,750,700,-6.7,-50,750.0,0.938,Minor decrease to align with market positioning,637.5,862.5
NYX Rooftop Lounge,Komos Anejo Reserva,Tequila,800,750,-6.2,-50,800.0,0.938,Minor decrease to align with market positioning,680.0,920.0
NYX Rooftop Lounge,Komos Anejo Cristalino,Tequila,800,750,-6.2,-50,800.0,0.938,Minor decrease to align with market positioning,680.0,920.0
NYX Rooftop Lounge,Patrón Silver,Tequila,375,350,-6.7,-25,375.0,0.938,Minor decrease to align with market positioning,318.75,431.25
NYX Rooftop Lounge,Patrón Reposado,Tequila,400,375,-6.2,-25,400.0,0.938,Minor decrease to align with market positioning,340.0,460.0
NYX Rooftop Lounge,Patrón Añejo,Tequila,450,425,-5.6,-25,450.0,0.938,Minor decrease to align with market positioning,382.5,517.5
NYX Rooftop Lounge,Bombay Sapphire,Gin,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Hendrick's,Gin,325,325,0.0,0,337.5,0.938,Price is optimal. Current price aligns well with market (Gin median: $338) and venue positioning (VPI: 0.94).,276.25,373.75
NYX Rooftop Lounge,Tanqueray,Gin,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Hennessy VS,Cognac,400,400,0.0,0,425.0,0.938,Price is optimal. Current price aligns well with market (Cognac median: $425) and venue positioning (VPI: 0.94).,340.0,460.0
NYX Rooftop Lounge,Hennessv VSOP,Cognac,600,550,-8.3,-50,600.0,0.938,Minor decrease to align with market positioning,510.0,690.0
NYX Rooftop Lounge,D'USSÉ VSOP,Cognac,400,375,-6.2,-25,400.0,0.938,Minor decrease to align with market positioning,340.0,460.0
NYX Rooftop Lounge,Rémy Martin VSOP,Cognac,450,425,-5.6,-25,450.0,0.938,Minor decrease to align with market positioning,382.5,517.5
NYX Rooftop Lounge,Rémy Martin 1738,Cognac,475,450,-5.3,-25,475.0,0.938,Minor decrease to align with market positioning,403.75,546.25
NYX Rooftop Lounge,Bacardi,Rum,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Captain Morgan,Rum,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Johnnie Walker Black,Scotch,375,350,-6.7,-25,375.0,0.938,Minor decrease to align with market positioning,318.75,431.25
NYX Rooftop Lounge,Johnnie Walker Blue,Scotch,750,700,-6.7,-50,750.0,0.938,Minor decrease to align with market positioning,637.5,862.5
NYX Rooftop Lounge,Glenlivet 12,Scotch,400,375,-6.2,-25,412.5,0.938,Minor decrease to align with market positioning,340.0,460.0
NYX Rooftop Lounge,Glenlivet 15,Scotch,500,475,-5.0,-25,500.0,0.938,Minor decrease to align with market positioning,425.0,575.0
NYX Rooftop Lounge,Chivas,Scotch,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Bulleit Bourbon,Whiskey & Bourbon,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Bulleit Rye,Whiskey & Bourbon,350,325,-7.1,-25,350.0,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Crown Apple,Whiskey & Bourbon,325,300,-7.7,-25,325.0,0.938,Minor decrease to align with market positioning,276.25,373.75
NYX Rooftop Lounge,Crown Royal,Whiskey & Bourbon,325,300,-7.7,-25,325.0,0.938,Minor decrease to align with market positioning,276.25,373.75
NYX Rooftop Lounge,Jack Daniel's,Whiskey & Bourbon,325,325,0.0,0,337.5,0.938,Price is optimal. Current price aligns well with market (Whiskey & Bourbon median: $338) and venue positioning (VPI: 0.94).,276.25,373.75
NYX Rooftop Lounge,Jameson,Whiskey & Bourbon,350,325,-7.1,-25,337.5,0.938,Minor decrease to align with market positioning,297.5,402.5
NYX Rooftop Lounge,Maker's Mark,Whiskey & Bourbon,325,300,-7.7,-25,325.0,0.938,Minor decrease to align with market positioning,276.25,373.75
NYX Rooftop Lounge,Ace of Spades,Champagne,1000,950,-5.0,-50,1000.0,0.938,Minor decrease to align with market positioning,850.0,1150.0
NYX Rooftop Lounge,Belaire,Champagne,260,250,-3.8,-10,260.0,0.938,Minor decrease to align with market positioning,221.0,299.0
NYX Rooftop Lounge,Moët Nectar Impérial Rosé,Champagne,300,275,-8.3,-25,300.0,0.938,Minor decrease to align with market positioning,255.0,345.0
NYX Rooftop Lounge,Moët Ice,Champagne,275,250,-9.1,-25,275.0,0.938,Minor decrease to align with market positioning,233.75,316.25
NYX Rooftop Lounge,Dom Pérignon Luminous,Champagne,700,650,-7.1,-50,700.0,0.938,Minor decrease to align with market positioning,595.0,805.0
NYX Rooftop Lounge,House Champagne,Champagne,100,100,0.0,0,100.0,0.938,Price is optimal. Current price aligns well with market (Champagne median: $100) and venue positioning (VPI: 0.94).,85.0,115.0
The Mayflower DC,Absolut,Vodka,325,350,7.7,25,325.0,1.062,Minor increase to align with market positioning,276.25,373.75
The Mayflower DC,Ketel One,Vodka,350,350,0.0,0,325.0,1.062,Price is optimal. Current price aligns well with market (Vodka median: $325) and venue positioning (VPI: 1.06).,297.5,402.5
The Mayflower DC,Tito's,Vodka,350,375,7.1,25,350.0,1.062,Minor increase to align with market positioning,297.5,402.5
The Mayflower DC,Ciroc & Flavors,Vodka,350,375,7.1,25,350.0,1.062,Minor increase to align with market positioning,297.5,402.5
The Mayflower DC,Belvedere,Vodka,375,350,-6.7,-25,325.0,1.062,Recommend decrease due to: above market median for Vodka ($325),318.75,431.25
The Mayflower DC,Grey Goose,Vodka,375,375,0.0,0,350.0,1.062,Price is optimal. Current price aligns well with market (Vodka median: $350) and venue positioning (VPI: 1.06).,318.75,431.25
The Mayflower DC,Belvedere 10,Vodka,700,750,7.1,50,700.0,1.062,Minor increase to align with market positioning,595.0,805.0
The Mayflower DC,Bombay Sapphire,Gin,325,325,0.0,0,300.0,1.062,Price is optimal. Current price aligns well with market (Gin median: $300) and venue positioning (VPI: 1.06).,276.25,373.75
The Mayflower DC,Tanqueray,Gin,325,325,0.0,0,300.0,1.062,Price is optimal. Current price aligns well with market (Gin median: $300) and venue positioning (VPI: 1.06).,276.25,373.75
The Mayflower DC,Hendrick's,Gin,350,350,0.0,0,337.5,1.062,Price is optimal. Current price aligns well with market (Gin median: $338) and venue positioning (VPI: 1.06).,297.5,402.5
The Mayflower DC,Bacardi,Rum,300,325,8.3,25,300.0,1.062,Minor increase to align with market positioning,255.0,345.0
The Mayflower DC,Captain Morgan,Rum,325,325,0.0,0,300.0,1.062,Price is optimal. Current price aligns well with market (Rum median: $300) and venue positioning (VPI: 1.06).,276.25,373.75
The Mayflower DC,Ron Zaccapa 23,Rum,375,400,6.7,25,375.0,1.062,Minor increase to align with market positioning,318.75,431.25
The Mayflower DC,Avion Silver,Tequila,375,400,6.7,25,375.0,1.062,Minor increase to align with market positioning,318.75,431.25
The Mayflower DC,Avion Reposado,Tequila,400,425,6.2,25,400.0,1.062,Minor increase to align with market positioning,340.0,460.0
The Mayflower DC,Del Maguey Vida Mezcal,Tequila,400,425,6.2,25,400.0,1.062,Minor increase to align with market positioning,340.0,460.0
The Mayflower DC,Don Julio Blanco,Tequila,400,375,-6.2,-25,350.0,1.062,Recommend decrease due to: above market median for Tequila ($350),340.0,460.0
The Mayflower DC,Don Julio Reposado,Tequila,425,475,11.8,50,450.0,1.062,Minor increase to align with market positioning,361.25,488.75
The Mayflower DC,Don Julio 1942,Tequila,900,950,5.6,50,900.0,1.062,Minor increase to align with market positioning,765.0,1035.0
The Mayflower DC,Don Julio 1942 Ultima Reserva,Tequila,1700,1800,5.9,100,1700.0,1.062,Minor increase to align with market positioning,1445.0,1955.0
The Mayflower DC,Don Julio 1942 Magnum,Tequila,2100,2075,-1.2,-25,1950.0,1.062,Minor decrease to align with market positioning,1785.0,2415.0
The Mayflower DC,Patron Silver,Tequila,425,450,5.9,25,425.0,1.062,Minor increase to align with market positioning,361.25,488.75
The Mayflower DC,Patron Reposado,Tequila,450,425,-5.6,-25,400.0,1.062,Recommend decrease due to: above market median for Tequila ($400),382.5,517.5
The Mayflower DC,Patron El Cielo,Tequila,850,900,5.9,50,850.0,1.062,Minor increase to align with market positioning,722.5,977.5
The Mayflower DC,Patron El Alto,Tequila,900,950,5.6,50,900.0,1.062,Minor increase to align with market positioning,765.0,1035.0
The Mayflower DC,Casamigos Blanco,Tequila,425,450,5.9,25,425.0,1.062,Minor increase to align with market positioning,361.25,488.75
The Mayflower DC,Casamigos Reposado,Tequila,450,475,5.6,25,450.0,1.062,Minor increase to align with market positioning,382.5,517.5
The Mayflower DC,Casamigos Anejo,Tequila,500,525,5.0,25,500.0,1.062,Minor increase to align with market positioning,425.0,575.0
The Mayflower DC,Casamigos Cristalino,Tequila,525,550,4.8,25,525.0,1.062,Minor increase to align with market positioning,446.25,603.75
The Mayflower DC,Casamigos Joven Mezcal,Tequila,700,750,7.1,50,700.0,1.062,Minor increase to align with market positioning,595.0,805.0
